Rank;Sourceid;Title;Issn;Publisher;Open Access;SJR;SJR Best Quartile;H index;Coverage;Categories;Areas;Country
11;16115;Nature Biotechnology;15461696, 10870156;Nature Research;No;23,109;Q1;553;1985, 1987, 1989-2026;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology";United Kingdom
12;12464;Nature Reviews Cancer;1474175X, 14741768;Nature Research;No;22,814;Q1;548;2001-2026;"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
13;17500;Journal of Finance;00221082, 15406261;Wiley-Blackwell Publishing Ltd;No;22,270;Q1;386;1946-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United Kingdom
14;28711;Annals of Oncology;15698041, 09237534;Elsevier Ltd;No;21,715;Q1;331;1990-2026;"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";Medicine;United Kingdom
15;21100812243;Nature Reviews Materials;20588437;Nature Publishing Group;No;20,801;Q1;242;2016-2026;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Energy; Materials Science";United Kingdom
16;6200180159;World Psychiatry;20515545, 17238617;John Wiley and Sons Inc;Yes;20,787;Q1;170;2007-2026;Psychiatry and Mental Health (Q1);Medicine;United States
17;21100812579;Nature Energy;20587546;Springer Nature;No;20,769;Q1;291;2016-2026;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science";United States
18;18991;Nature Reviews Genetics;14710056, 14710064;Nature Research;No;20,403;Q1;458;2000-2026;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
19;19482;Econometrica;00129682, 14680262;Wiley-Blackwell Publishing Ltd;No;19,935;Q1;242;1974, 1977-1985, 1990-1991, 1994-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United Kingdom
20;21206;Nature;14764687, 00280836;Nature Research;No;19,713;Q1;1495;1869-2026;Multidisciplinary (Q1);Multidisciplinary;United Kingdom
21;24379;Journal of Financial Economics;0304405X;Elsevier B.V.;No;18,748;Q1;355;1974-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";Netherlands
22;20313;Nature Reviews Microbiology;17401534, 17401526;Nature Research;No;18,406;Q1;421;2003-2026;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine";United Kingdom
23;15847;New England Journal of Medicine;00284793, 15334406;Massachussetts Medical Society;No;18,397;Q1;1275;1945-2026;Medicine (miscellaneous) (Q1);Medicine;United States
24;19700200701;Annual Review of Economics;19411383, 19411391;Annual Reviews Inc.;No;17,768;Q1;97;2010-2025;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United States
25;21100888816;Signal Transduction and Targeted Therapy;20593635, 20959907;Springer Nature;Yes;17,740;Q1;224;2016-2026;"Cancer Research (Q1); Genetics (Q1)";Biochemistry, Genetics and Molecular Biology;United Kingdom
26;21318;Nature Reviews Immunology;14741741, 14741733;Nature Research;No;17,646;Q1;511;2001-2026;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine";United Kingdom
27;15819;Nature Medicine;1546170X, 10788956;Nature Research;No;17,496;Q1;676;1995-2026;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
28;16161;Review of Financial Studies;14657368, 08939454;Oxford University Press;No;17,406;Q1;268;1996-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United Kingdom
29;21101049051;Nature Reviews Earth and Environment;2662138X;Springer International Publishing;No;17,081;Q1;109;2020-2026;"Atmospheric Science (Q1); Earth-Surface Processes (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1)";"Earth and Planetary Sciences; Environmental Science";Switzerland
30;23340;Chemical Reviews;15206890, 00092665;American Chemical Society;No;16,918;Q1;905;1924-2026;Chemistry (miscellaneous) (Q1);Chemistry;United States
31;27165;Journal of Economic Literature;00220515;American Economic Association;No;16,872;Q1;199;1981, 1984, 1986, 1996-2025;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United States
32;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;23270608;Annual Reviews Inc.;No;16,778;Q1;98;2014-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology";United States
33;20798;Immunity;10974180, 10747613;Cell Press;No;16,481;Q1;498;1994-2026;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine";United States
34;21100862548;Nature Catalysis;25201158;Nature Publishing Group;No;16,266;Q1;188;2018-2026;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering";United States
35;24404;Journal of Political Economy;00223808, 1537534X;University of Chicago Press;No;16,250;Q1;235;1969, 1973-1974, 1979-1985, 1987-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United States
36;20651;Annual Review of Immunology;15453278, 07320582;Annual Reviews Inc.;No;16,066;Q1;349;1983-2025;"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine";United States
37;146172;Cell Metabolism;15504131, 19327420;Cell Press;No;15,978;Q1;391;2005-2026;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)";Biochemistry, Genetics and Molecular Biology;United States
38;21100778827;Nature Methods;15487091, 15487105;Nature Research;No;15,624;Q1;432;2004-2026;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)";Biochemistry, Genetics and Molecular Biology;United Kingdom
39;21100780831;Nature Reviews Disease Primers;2056676X;Nature Publishing Group;No;15,606;Q1;236;2015-2026;Medicine (miscellaneous) (Q1);Medicine;United Kingdom
40;28599;Reviews of Geophysics;19449208, 87551209;John Wiley and Sons Inc;No;15,383;Q1;219;1963-2026;Geophysics (Q1);Earth and Planetary Sciences;United States
41;18990;Nature Genetics;10614036, 15461718;Nature Research;No;15,377;Q1;679;1992-2026;Genetics (Q1);Biochemistry, Genetics and Molecular Biology;United Kingdom
42;17900156715;IEEE Communications Surveys and Tutorials;1553877X;Institute of Electrical and Electronics Engineers Inc.;Yes;14,838;Q1;314;2004-2026;Electrical and Electronic Engineering (Q1);Engineering;United States
43;16590;The Lancet;01406736, 1474547X;Elsevier B.V.;No;14,821;Q1;982;1823-2026;Medicine (miscellaneous) (Q1);Medicine;United Kingdom
44;71056;MMWR Surveillance Summaries;15458636, 15460738;Centers for Disease Control and Prevention (CDC);Yes;14,728;Q1;121;2002-2009, 2011-2025;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences";United States
45;21101089342;Nature Reviews Methods Primers;26628449;Springer Nature;No;14,459;Q1;88;2021-2026;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
46;19900191906;Academy of Management Annals;19416520, 19416067;Academy of Management;No;14,367;Q1;132;2007, 2010-2025;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";Business, Management and Accounting;United States
47;22330;Organizational Research Methods;15527425, 10944281;SAGE Publications Inc.;No;14,268;Q1;158;1998-2026;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences";United States
48;28677;Living Reviews in Relativity;14338351, 23673613;Springer International Publishing AG;Yes;14,227;Q1;107;1998-2025;Physics and Astronomy (miscellaneous) (Q1);Physics and Astronomy;Switzerland
49;26651;Annual Review of Astronomy and Astrophysics;15454282, 00664146;Annual Reviews Inc.;No;14,119;Q1;227;1980, 1990-2025;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy";United States
50;21100826569;Nature Reviews Chemistry;23973358;Nature Publishing Group;No;13,684;Q1;153;2017-2026;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry";United Kingdom
51;17854;Nature Materials;14764660, 14761122;Nature Publishing Group;No;13,131;Q1;608;2002-2026;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy";United Kingdom
52;21100786228;The Lancet Gastroenterology and Hepatology;24681253;Elsevier Ltd;No;13,113;Q1;141;2016-2026;"Gastroenterology (Q1); Hepatology (Q1)";Medicine;United Kingdom
53;25297;Journal of Hepatology;16000641, 01688278;Elsevier B.V.;No;13,097;Q1;338;1985-2026;Hepatology (Q1);Medicine;Netherlands
54;5200152704;Nature Nanotechnology;17483387, 17483395;Nature Research;No;13,056;Q1;467;2006-2026;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy";United Kingdom
55;29719;Reviews of Modern Physics;00346861, 15390756;American Physical Society;No;13,041;Q1;417;1929-2026;Physics and Astronomy (miscellaneous) (Q1);Physics and Astronomy;United States
56;12010;Annual Review of Psychology;00664308, 15452085;Annual Reviews Inc.;No;12,936;Q1;315;1950-1958, 1960-1963, 1965-2026;Psychology (miscellaneous) (Q1);Psychology;United States
57;21100834904;Joule;25424351;Cell Press;No;12,922;Q1;252;2017-2026;Energy (miscellaneous) (Q1);Energy;United States
58;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;American Economic Association;No;12,637;Q1;96;2009-2025;Economics, Econometrics and Finance (miscellaneous) (Q1);Economics, Econometrics and Finance;United States
59;5700165152;Nature Photonics;17494885, 17494893;Nature Research;No;12,491;Q1;429;2007-2026;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy";United Kingdom
60;21101023100;Nature Cancer;26621347;Nature Research;No;12,443;Q1;102;2020-2026;"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
61;16860;The Lancet Neurology;14744465, 14744422;Elsevier Ltd;No;12,439;Q1;398;2002-2026;Neurology (clinical) (Q1);Medicine;United Kingdom
62;21100884663;Nature Electronics;25201131;Nature Publishing Group;No;12,430;Q1;159;2018-2026;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)";"Engineering; Materials Science; Physics and Astronomy";United Kingdom
63;21100258425;Kidney International Supplements;21571716, 21571724;Elsevier B.V.;No;12,369;Q1;57;2011-2022, 2024-2025;Nephrology (Q1);Medicine;United States
64;22951;Journal of Marketing;15477185, 00222429;American Marketing Association;No;12,226;Q1;309;1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United States
65;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;Annual Reviews Inc.;No;12,060;Q1;162;2006-2021, 2023-2026;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine";United States
66;6100153018;Cell Stem Cell;19345909, 18759777;Cell Press;No;12,003;Q1;329;2007-2026;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)";Biochemistry, Genetics and Molecular Biology;United States
67;17900156736;Journal of Hematology and Oncology;17568722;BioMed Central Ltd;Yes;11,824;Q1;194;2008-2026;"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
68;21101141505;eScience;20972431, 26671417;KeAi Communications Co.;Yes;11,618;Q1;82;2021-2026;"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science";China
69;21100237403;The Lancet Diabetes and Endocrinology;22138595, 22138587;Elsevier Ltd;No;11,610;Q1;207;2013-2026;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
70;24004;Physiological Reviews;15221210, 00319333;American Physiological Society;No;11,493;Q1;417;1945-2026;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
71;23350;Chemical Society Reviews;03060012, 14604744;Royal Society of Chemistry;No;11,348;Q1;709;1972-2026;Chemistry (miscellaneous) (Q1);Chemistry;United Kingdom
72;20110;NBER Macroeconomics Annual;15372642, 08893365;University of Chicago Press;No;11,327;Q1;76;1996-2014, 2016, 2018-2025;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United States
73;16801;Annual Review of Biochemistry;15454509, 00664154;Annual Reviews Inc.;No;11,213;Q1;342;1946-1948, 1950-1960, 1962-2025;Biochemistry (Q1);Biochemistry, Genetics and Molecular Biology;United States
74;17700156509;Nature Reviews Cardiology;17595010, 17595002;Nature Research;No;11,209;Q1;224;2009-2026;Cardiology and Cardiovascular Medicine (Q1);Medicine;United Kingdom
75;21315;Nature Immunology;15292908, 15292916;Nature Research;No;11,131;Q1;468;2000-2026;"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine";United Kingdom
76;22899;Journal of Consumer Research;00935301, 15375277;Oxford University Press;No;11,045;Q1;248;1975, 1977-1978, 1984, 1988, 1991-1992, 1996-2026;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences";United Kingdom
77;17436;Nature Neuroscience;10976256, 15461726;Nature Research;No;11,041;Q1;515;1998-2026;Neuroscience (miscellaneous) (Q1);Neuroscience;United Kingdom
78;23571;Science;10959203, 00368075;American Association for the Advancement of Science;Yes;10,948;Q1;1433;1880-1881, 1883-2026;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary";United States
79;20191;Academy of Management Journal;00014273;Academy of Management;No;10,781;Q1;410;1961, 1966-1968, 1973, 1975-2025;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting;United States
80;17700156202;Nature Reviews Nephrology;1759507X, 17595061;Nature Research;No;10,732;Q1;195;2009-2026;Nephrology (Q1);Medicine;United Kingdom
81;18606;Molecular Cell;10974164, 10972765;Cell Press;No;10,670;Q1;473;1997-2026;"Cell Biology (Q1); Molecular Biology (Q1)";Biochemistry, Genetics and Molecular Biology;United States
82;17437;Nature Reviews Neuroscience;14710048, 1471003X;Springer Nature;No;10,282;Q1;510;2000-2026;Neuroscience (miscellaneous) (Q1);Neuroscience;United Kingdom
83;23157;Strategic Management Journal;10970266, 01432095;John Wiley and Sons Ltd;No;10,154;Q1;370;1980-2026;"Business and International Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting;United Kingdom
84;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;Annual Reviews Inc.;No;10,044;Q1;102;2010-2025;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)";"Materials Science; Physics and Astronomy";United States
85;20206;Academy of Management Review;03637425;Academy of Management;No;9,996;Q1;334;1976-1991, 1993-2025;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting;United States
86;26038;Endocrine Reviews;19457189, 0163769X;Endocrine Society;No;9,991;Q1;326;1980-2026;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
87;17700156208;Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;Nature Research;No;9,982;Q1;236;2009-2026;"Gastroenterology (Q1); Hepatology (Q1)";Medicine;United Kingdom
88;16721;Annual Review of Plant Biology;15452123, 15435008;Annual Reviews Inc.;Yes;9,949;Q1;320;1996-2025;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology";United States
89;12429;Molecular Cancer;14764598;BioMed Central Ltd;Yes;9,908;Q1;242;2002-2026;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
90;5300152732;Cell Host and Microbe;19346069, 19313128;Cell Press;No;9,892;Q1;270;2007-2026;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology";United States
91;16160;Review of Finance;1573692X, 15723097;Oxford University Press;No;9,870;Q1;91;2001-2002, 2004-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United Kingdom
92;29857;Journal of Accounting Research;1475679X, 00218456;Wiley-Blackwell Publishing Ltd;No;9,774;Q1;186;1996-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United Kingdom
93;21100932733;Nature Metabolism;25225812;Nature Research;No;9,602;Q1;113;2019-2026;"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
94;16036;Administrative Science Quarterly;00018392, 19303815;SAGE Publications Ltd;No;9,595;Q1;228;1975-1987, 1989-1990, 1993-1994, 1996-2026;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences";United States
95;21100972445;Nature Reviews Physics;25225820;Springer International Publishing;Yes;9,588;Q1;110;2019-2026;Physics and Astronomy (miscellaneous) (Q1);Physics and Astronomy;United Kingdom
96;21101083188;Nature Aging;26628465;Springer;No;9,500;Q1;75;2021-2026;"Aging (Q1); Geriatrics and Gerontology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience";United States
97;12354;The Lancet Oncology;14702045, 14745488;Elsevier Ltd;No;9,432;Q1;455;2000-2026;Oncology (Q1);Medicine;United Kingdom
98;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;American Economic Association;No;9,427;Q1;124;2009-2025;Economics, Econometrics and Finance (miscellaneous) (Q1);Economics, Econometrics and Finance;United States
99;26756;Astronomy and Astrophysics Review;09354956, 14320754;Springer Science and Business Media Deutschland GmbH;Yes;9,300;Q1;89;1989-2000, 2002-2004, 2006-2025;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy";Germany
100;17500155114;Energy and Environmental Science;17545692, 17545706;Royal Society of Chemistry;No;9,244;Q1;491;2008-2026;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science";United Kingdom
101;58530;National Vital Statistics Reports;15518922, 15518930;National Center for Health Statistics;No;9,227;Q1;123;1998-2025;Life-span and Life-course Studies (Q1);Social Sciences;United States
102;21101272993;Nature Reviews Bioengineering;27316092;Springer Nature;No;9,178;Q1;44;2023-2026;"Applied Microbiology and Biotechnology (Q1); Biomedical Engineering (Q1); Biophysics (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Immunology and Microbiology";United Kingdom
103;24721;Annals of Mathematics;0003486X, 19398980;Department of Mathematics at Princeton University;No;9,137;Q1;153;1996-2025;"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics";United States
104;21101134733;iMeta;2770596X, 27705986;John Wiley and Sons Inc;Yes;9,121;Q1;45;2022-2026;"Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology";United States
105;17700156440;Nature Reviews Endocrinology;17595037, 17595029;Nature Publishing Group;No;9,087;Q1;240;2009-2026;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United Kingdom
106;19014;Nature Cell Biology;14764679, 14657392;Nature Research;No;9,085;Q1;431;1999-2026;Cell Biology (Q1);Biochemistry, Genetics and Molecular Biology;United Kingdom
107;21100831443;Nature Biomedical Engineering;2157846X;Nature Research;No;8,997;Q1;166;2017-2026;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine";United Kingdom
108;24527;Acta Mathematica;00015962, 18712509;International Press, Inc.;No;8,954;Q1;85;1882-1887, 1889-1895, 1897, 1899-1906, 1908-1914, 1916, 1920-1923, 1925-1942, 1944-2025;Mathematics (miscellaneous) (Q1);Mathematics;Netherlands
109;19700173023;Living Reviews in Solar Physics;16144961, 23673648;Springer International Publishing AG;Yes;8,871;Q1;79;2004-2025;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy";Switzerland
110;24204;Review of Economics and Statistics;00346535, 15309142;MIT Press;No;8,830;Q1;219;1978-2025;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences";United States
111;28366;Gut;14683288, 00175749;BMJ Publishing Group;No;8,772;Q1;385;1960-2026;Gastroenterology (Q1);Medicine;United Kingdom
112;29838;Journal of Accounting and Economics;01654101;Elsevier B.V.;No;8,748;Q1;207;1979-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";Netherlands
113;19897;European Urology;18737560, 03022838;Elsevier B.V.;No;8,715;Q1;288;1975-2026;Urology (Q1);Medicine;Netherlands
114;19584;Annual Review of Public Health;01637525, 15452093;Annual Reviews Inc.;No;8,648;Q1;200;1980-2020, 2022-2025;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";Medicine;United States
115;17978;Neuron;10974199, 08966273;Cell Press;No;8,564;Q1;569;1988-2026;Neuroscience (miscellaneous) (Q1);Neuroscience;United States
116;21100860945;Science Immunology;24709468;American Association for the Advancement of Science;No;8,560;Q1;136;2016-2026;"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine";United States
117;13443;Psychological Bulletin;00332909, 19391455;American Psychological Association;No;8,496;Q1;396;1904-2025;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology";United States
118;21100203115;Nano-Micro Letters;23116706, 21505551;Open Access Science Online;Yes;8,402;Q1;176;2009-2026;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)";"Engineering; Materials Science";Netherlands
119;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;Centers for Disease Control and Prevention (CDC);Yes;8,380;Q1;283;1981-2026;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences";United States
120;17899;Progress in Materials Science;18732208, 00796425;Elsevier Ltd;No;8,365;Q1;278;1961, 1963, 1968-1970, 1972-1974, 1976, 1978-1986, 1988-2026;Materials Science (miscellaneous) (Q1);Materials Science;United Kingdom
121;23714;Marketing Science;07322399, 1526548X;INFORMS Institute for Operations Research and the Management Sciences;No;8,324;Q1;166;1985, 1991, 1993, 1995-2026;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance";United States
122;22581;Circulation;00097322, 15244539;Lippincott Williams and Wilkins;No;8,311;Q1;712;1950-2026;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)";Medicine;United States
123;22401;Journal of the American College of Cardiology;15583597, 07351097;Elsevier Inc.;No;8,275;Q1;531;1983-2026;Cardiology and Cardiovascular Medicine (Q1);Medicine;United States
